accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,time,urban_or_rural_area,weather_conditions,vehicle_type
BS0000095,13-03-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000125,13-03-2021,Friday,Auto traffic signal,More than 4 arms (not roundabout),Slight,Daylight,Westminster,None,1,2,Metropolitan Police,Dry,Single carriageway,30,15:00,Urban,Fine no high winds,Motorcycle over 500cc
BS0000191,13-05-2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,14:00,Urban,Fine no high winds,Car
BS0000196,13-05-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,Pedestrian in carriageway - not injured,2,1,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car
BS0000215,13-05-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,17:19,Urban,Fine no high winds,Car
BS0000324,13-07-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Car
BS0000344,13-07-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Dual carriageway,50,19:30,Urban,Fine no high winds,Car
BS0000384,13-08-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,2,4,Metropolitan Police,Dry,One way street,30,12:31,Urban,Fine no high winds,Car
BS0000390,13-08-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
BS0000494,13-10-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,20:59,Urban,Fine no high winds,Car
BS0000497,13-10-2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,14:30,Urban,Fine no high winds,Car
BS0000498,13-10-2021,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,13:45,Urban,Fine no high winds,Car
BS0000053,14-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,21:06,Urban,Fine no high winds,Car
BS0000087,14-03-2021,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,17:04,Urban,Fine no high winds,Car
